parameter,unit,pearson_r,r_squared,rmse,mae,mbe,status
Air Temperature (°C),°C,0.9971,0.9942,0.4204,0.3341,-0.0765,EXCEPTIONAL
Solar Radiation (W/m²),W/m²,0.9996,0.9992,10.3879,5.8294,-1.6652,EXCEPTIONAL
Relative Humidity (%),%,0.9938,0.9876,1.8486,1.4646,0.2715,EXCEPTIONAL
Soil Temperature (°C),°C,0.9958,0.9917,0.5475,0.4392,-0.1332,EXCEPTIONAL
Soil Moisture (0-7cm),m³/m³,0.6926,0.4797,0.0127,0.0102,-0.0029,STRONG
Crop Evapotranspiration (ETc),mm/hr,0.9972,0.9943,0.045,0.0273,-0.0067,EXCEPTIONAL
